age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,y,contact_cellular,contact_telephone,contact_unknown,duration_contact_cellular,duration_contact_telephone,duration_contact_unknown,above_median_duration
30,unemployed,married,primary,no,1787.0,no,no,19,oct,79,1,no,True,False,False,79,0,0,0
30,management,married,tertiary,no,1476.0,yes,yes,3,jun,199,4,no,False,False,True,0,0,199,1
59,blue-collar,married,secondary,no,0.0,yes,no,5,may,226,1,no,False,False,True,0,0,226,1
39,technician,married,secondary,no,147.0,yes,no,6,may,151,2,no,True,False,False,151,0,0,0
41,entrepreneur,married,tertiary,no,221.0,yes,no,14,may,57,2,no,False,False,True,0,0,57,0
43,admin.,married,secondary,no,264.0,yes,no,17,apr,113,2,no,True,False,False,113,0,0,0
36,technician,married,tertiary,no,1109.0,no,no,13,aug,328,2,no,True,False,False,328,0,0,1
20,student,single,secondary,no,502.0,no,no,30,apr,261,1,yes,True,False,False,261,0,0,1
40,management,married,tertiary,no,194.0,no,yes,29,aug,189,2,no,True,False,False,189,0,0,1
25,blue-collar,single,primary,no,-221.0,yes,no,23,may,250,1,no,False,False,True,0,0,250,1
38,management,divorced,unknown,no,0.0,yes,no,18,nov,96,2,no,True,False,False,96,0,0,0
42,management,divorced,tertiary,no,16.0,no,no,19,nov,140,3,no,True,False,False,140,0,0,0
44,services,single,secondary,no,106.0,no,no,12,jun,109,2,no,False,False,True,0,0,109,0
41,entrepreneur,married,secondary,no,93.0,no,no,7,jul,125,2,no,True,False,False,125,0,0,0
26,housemaid,married,tertiary,no,543.0,no,no,30,jan,169,3,no,True,False,False,169,0,0,1
55,blue-collar,married,primary,no,627.0,yes,no,5,may,247,1,no,False,False,True,0,0,247,1
56,self-employed,married,secondary,no,784.0,no,yes,30,jul,149,2,no,True,False,False,149,0,0,0
53,admin.,married,secondary,no,105.0,no,yes,21,aug,74,2,no,True,False,False,74,0,0,0
31,technician,married,secondary,no,171.0,no,no,27,aug,81,3,no,True,False,False,81,0,0,0
59,management,married,secondary,no,42.0,no,no,21,nov,40,1,no,True,False,False,40,0,0,0
49,technician,married,tertiary,no,1235.0,no,no,13,aug,354,3,yes,True,False,False,354,0,0,1
42,admin.,divorced,secondary,no,1811.0,yes,no,14,may,150,1,no,False,False,True,0,0,150,0
32,blue-collar,married,secondary,no,2089.0,yes,no,14,nov,132,1,yes,True,False,False,132,0,0,0
23,services,single,tertiary,no,363.0,yes,no,30,may,16,3,no,False,False,True,0,0,16,0
36,management,single,tertiary,no,553.0,no,no,11,aug,106,2,no,True,False,False,106,0,0,0
52,blue-collar,married,secondary,no,1117.0,yes,no,13,may,365,1,no,True,False,False,365,0,0,1
32,technician,married,tertiary,no,396.0,yes,no,13,may,205,3,no,True,False,False,205,0,0,1
32,technician,single,tertiary,no,2204.0,yes,no,21,nov,11,4,no,True,False,False,11,0,0,0
34,management,single,tertiary,no,872.0,yes,no,7,may,105,2,no,False,False,True,0,0,105,0
