age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,y,contact_cellular,contact_telephone,contact_unknown,duration_contact_cellular,duration_contact_telephone,duration_contact_unknown,above_median_duration,scaled_balance,housing_penalty,loan_penalty,default_penalty,job_score,FSI
30,unemployed,married,primary,no,1787.0,no,no,19,oct,79,1,-1,0,unknown,no,True,False,False,79,0,0,0,0.8390680032511515,0,0,0,-2,-1.1609319967488485
30,management,married,tertiary,no,1476.0,yes,yes,3,jun,199,4,-1,0,unknown,no,False,False,True,0,0,199,1,0.7548089948523435,-1,-1,0,2,0.7548089948523433
59,blue-collar,married,secondary,no,0.0,yes,no,5,may,226,1,-1,0,unknown,no,False,False,True,0,0,226,1,0.3549173665673259,-1,0,0,-1,-1.645082633432674
39,technician,married,secondary,no,147.0,yes,no,6,may,151,2,-1,0,unknown,no,True,False,False,151,0,0,0,0.3947439718233541,-1,0,0,1,0.3947439718233541
41,entrepreneur,married,tertiary,no,221.0,yes,no,14,may,57,2,-1,0,unknown,no,False,False,True,0,0,57,0,0.4147927390950962,-1,0,0,2,1.414792739095096
43,admin.,married,secondary,no,264.0,yes,no,17,apr,113,2,-1,0,unknown,no,True,False,False,113,0,0,0,0.42644269845570304,-1,0,0,0,-0.573557301544297
36,technician,married,tertiary,no,1109.0,no,no,13,aug,328,2,-1,0,unknown,no,True,False,False,328,0,0,1,0.6553779463560011,0,0,0,1,1.6553779463560012
20,student,single,secondary,no,502.0,no,no,30,apr,261,1,-1,0,unknown,yes,True,False,False,261,0,0,1,0.4909238688702249,0,0,0,1,1.4909238688702249
40,management,married,tertiary,no,194.0,no,yes,29,aug,189,2,-1,0,unknown,no,True,False,False,189,0,0,1,0.40747764833378486,0,-1,0,2,1.407477648333785
25,blue-collar,single,primary,no,-221.0,yes,no,23,may,250,1,-1,0,unknown,no,False,False,True,0,0,250,1,0.29504199403955567,-1,0,0,-1,-1.7049580059604443
38,management,divorced,unknown,no,0.0,yes,no,18,nov,96,2,-1,0,unknown,no,True,False,False,96,0,0,0,0.3549173665673259,-1,0,0,2,1.3549173665673258
42,management,divorced,tertiary,no,16.0,no,no,19,nov,140,3,-1,0,unknown,no,True,False,False,140,0,0,0,0.3592522351666215,0,0,0,2,2.3592522351666214
44,services,single,secondary,no,106.0,no,no,12,jun,109,2,-1,0,unknown,no,False,False,True,0,0,109,0,0.38363587103765917,0,0,0,0,0.38363587103765917
41,entrepreneur,married,secondary,no,93.0,no,no,7,jul,125,2,-1,0,unknown,no,True,False,False,125,0,0,0,0.3801137903007315,0,0,0,2,2.3801137903007317
26,housemaid,married,tertiary,no,543.0,no,no,30,jan,169,3,-1,0,unknown,no,True,False,False,169,0,0,1,0.5020319696559198,0,0,0,-1,-0.4979680303440802
55,blue-collar,married,primary,no,627.0,yes,no,5,may,247,1,-1,0,unknown,no,False,False,True,0,0,247,1,0.5247900298022217,-1,0,0,-1,-1.4752099701977783
56,self-employed,married,secondary,no,784.0,no,yes,30,jul,149,2,-1,0,unknown,no,True,False,False,149,0,0,0,0.5673259279328096,0,-1,0,1,0.5673259279328096
53,admin.,married,secondary,no,105.0,no,yes,21,aug,74,2,-1,0,unknown,no,True,False,False,74,0,0,0,0.3833649417502032,0,-1,0,0,-0.6166350582497968
31,technician,married,secondary,no,171.0,no,no,27,aug,81,3,-1,0,unknown,no,True,False,False,81,0,0,0,0.40124627472229746,0,0,0,1,1.4012462747222973
59,management,married,secondary,no,42.0,no,no,21,nov,40,1,-1,0,unknown,no,True,False,False,40,0,0,0,0.36629639664047686,0,0,0,2,2.366296396640477
49,technician,married,tertiary,no,1235.0,no,no,13,aug,354,3,-1,0,unknown,yes,True,False,False,354,0,0,1,0.6895150365754538,0,0,0,1,1.6895150365754539
42,admin.,divorced,secondary,no,1811.0,yes,no,14,may,150,1,-1,0,unknown,no,False,False,True,0,0,150,0,0.8455703061500949,-1,0,0,0,-0.15442969384990513
32,blue-collar,married,secondary,no,2089.0,yes,no,14,nov,132,1,-1,0,unknown,yes,True,False,False,132,0,0,0,0.9208886480628556,-1,0,0,-1,-1.0791113519371445
23,services,single,tertiary,no,363.0,yes,no,30,may,16,3,-1,0,unknown,no,False,False,True,0,0,16,0,0.4532646979138445,-1,0,0,0,-0.5467353020861555
36,management,single,tertiary,no,553.0,no,no,11,aug,106,2,-1,0,unknown,no,True,False,False,106,0,0,0,0.5047412625304796,0,0,0,2,2.5047412625304797
52,blue-collar,married,secondary,no,1117.0,yes,no,13,may,365,1,-1,0,unknown,no,True,False,False,365,0,0,1,0.6575453806556488,-1,0,0,-1,-1.3424546193443512
32,technician,married,tertiary,no,396.0,yes,no,13,may,205,3,-1,0,unknown,no,True,False,False,205,0,0,1,0.4622053643998916,-1,0,0,1,0.46220536439989157
32,technician,single,tertiary,no,2204.0,yes,no,21,nov,11,4,-1,0,unknown,no,True,False,False,11,0,0,0,0.9520455161202926,-1,0,0,1,0.9520455161202928
34,management,single,tertiary,no,872.0,yes,no,7,may,105,2,-1,0,unknown,no,False,False,True,0,0,105,0,0.5911677052289352,-1,0,0,2,1.5911677052289352
26,blue-collar,married,primary,no,0.0,yes,no,21,may,425,1,-1,0,unknown,no,False,False,True,0,0,425,1,0.3549173665673259,-1,0,0,-1,-1.645082633432674
32,entrepreneur,single,primary,yes,-849.0,yes,yes,4,feb,204,1,-1,0,unknown,no,True,False,False,204,0,0,1,0.12489840151720401,-1,-1,-2,2,-1.8751015984827961
38,technician,single,secondary,no,50.0,no,no,29,aug,98,2,-1,0,unknown,no,True,False,False,98,0,0,0,0.36846383094012464,0,0,0,1,1.3684638309401247
53,blue-collar,married,secondary,no,2231.0,yes,no,14,jul,272,3,-1,0,unknown,no,True,False,False,272,0,0,1,0.9593606068816039,-1,0,0,-1,-1.0406393931183961
57,management,married,secondary,no,82.0,no,yes,4,feb,140,1,-1,0,unknown,no,False,True,False,0,140,0,1,0.3771335681387158,0,-1,0,2,1.3771335681387158
33,self-employed,single,tertiary,no,2155.0,no,no,17,nov,295,1,-1,0,unknown,no,True,False,False,295,0,0,1,0.9387699810349499,0,0,0,1,1.93876998103495
36,retired,single,secondary,no,101.0,yes,yes,26,may,314,1,-1,0,unknown,no,False,False,True,0,0,314,1,0.3822812246003793,-1,-1,0,-1,-2.617718775399621
63,retired,married,secondary,no,415.0,yes,no,7,oct,323,1,-1,0,unknown,no,True,False,False,323,0,0,1,0.4673530208615551,-1,0,0,-1,-1.532646979138445
48,services,married,secondary,no,1355.0,no,no,16,jul,134,2,-1,0,unknown,no,True,False,False,134,0,0,0,0.7220265510701707,0,0,0,0,0.7220265510701707
31,services,married,secondary,no,338.0,yes,no,28,jan,155,1,-1,0,unknown,no,True,False,False,155,0,0,0,0.44649146572744514,-1,0,0,0,-0.5535085342725549
29,technician,married,secondary,no,444.0,yes,no,21,jul,130,4,-1,0,unknown,no,True,False,False,130,0,0,0,0.4752099701977784,-1,0,0,1,0.47520997019777833
32,technician,single,tertiary,no,360.0,no,no,19,nov,164,2,-1,0,unknown,no,True,False,False,164,0,0,0,0.45245191005147656,0,0,0,1,1.4524519100514766
42,entrepreneur,divorced,tertiary,yes,2.0,yes,no,5,may,380,1,-1,0,unknown,no,False,False,True,0,0,380,1,0.3554592251422379,-1,0,-2,2,-0.6445407748577621
41,services,married,tertiary,no,412.0,yes,no,3,jun,154,5,-1,0,unknown,no,False,False,True,0,0,154,0,0.46654023299918723,-1,0,0,0,-0.5334597670008128
