iter	Logloss
0	0.6793664622
1	0.6635759218
2	0.6489010632
3	0.6344149699
4	0.6220720752
5	0.6136736247
6	0.6015150092
7	0.5898375722
8	0.5765017244
9	0.5648841692
10	0.5556698884
11	0.5454996663
12	0.5356963366
13	0.528438043
14	0.520476822
15	0.5116377568
16	0.4985736897
17	0.4900840575
18	0.4810831567
19	0.4732887599
20	0.4644477337
21	0.4566392095
22	0.4507618163
23	0.4439037008
24	0.4384656967
25	0.4333115392
26	0.4274900762
27	0.4216527848
28	0.4159279734
29	0.4105778972
30	0.4054224821
31	0.4003154096
32	0.3947454622
33	0.3910954195
34	0.386515104
35	0.381909841
36	0.3769801
37	0.3709563839
38	0.3660958041
39	0.3626770661
40	0.3586826617
41	0.3533078895
42	0.3499700911
43	0.3455642164
44	0.3410272472
45	0.3374425217
46	0.3348854931
47	0.3320883134
48	0.3280090223
49	0.3237261706
50	0.3204717529
51	0.3183407922
52	0.3143484724
53	0.3114040505
54	0.3085609171
55	0.3043417831
56	0.3012010022
57	0.2988912859
58	0.2961417473
59	0.2924180483
60	0.2894869985
61	0.2873035601
62	0.2849907148
63	0.2826506052
64	0.2803688088
65	0.2782990283
66	0.2759279026
67	0.2732365228
68	0.2704610023
69	0.2674378854
70	0.2653000923
71	0.2632401609
72	0.2610625361
73	0.2590410082
74	0.2572581023
75	0.2555954133
76	0.253693587
77	0.2519205941
78	0.2501161183
79	0.2483463952
80	0.2466600033
81	0.2448528159
82	0.2431021692
83	0.2414734431
84	0.2400509596
85	0.2389208213
86	0.2371590266
87	0.2359099739
88	0.2345782498
89	0.2333786332
90	0.2321476713
91	0.2306519869
92	0.2291288377
93	0.2277529618
94	0.2265638042
95	0.2247156972
96	0.2235121014
97	0.2220518853
98	0.2207088216
99	0.218826632
100	0.2176936412
101	0.2163376019
102	0.2156064604
103	0.2148298893
104	0.2132287692
105	0.2124270019
106	0.2116026272
107	0.2104645932
108	0.2094777894
109	0.2084716555
110	0.2075698751
111	0.2061930917
112	0.2052643707
113	0.2038662784
114	0.2029729192
115	0.2020270423
116	0.2014098215
117	0.2002264956
118	0.1993569085
119	0.1982815762
120	0.1973781261
121	0.1965191859
122	0.1958178066
123	0.1953196006
124	0.194428141
125	0.1936101267
126	0.1927592201
127	0.1921802266
128	0.1913203737
129	0.1897930477
130	0.1889157926
131	0.1879625527
132	0.1871439835
133	0.1863222958
134	0.1852169406
135	0.184649899
136	0.1836485641
137	0.1826382054
138	0.1819949891
139	0.1809165509
140	0.1803956919
141	0.1797165796
142	0.1791146312
143	0.17817972
144	0.1773141514
145	0.1764982745
146	0.175383767
147	0.1747607169
148	0.1741332932
149	0.173600434
150	0.1730199384
151	0.1724061122
152	0.1712751479
153	0.1705124465
154	0.1699454466
155	0.1689164837
156	0.1683832179
157	0.1676261395
158	0.1672848889
159	0.1667687831
160	0.1663868399
161	0.1655538566
162	0.1646959819
163	0.1638815614
164	0.1630454597
165	0.1624518351
166	0.1615405468
167	0.1612717046
168	0.1607387159
169	0.1598095342
170	0.1592464478
171	0.1587962448
172	0.1582803074
173	0.1577223637
174	0.1572985934
175	0.1568885198
176	0.1564503603
177	0.1560086408
178	0.1555811882
179	0.154758945
180	0.1536898735
181	0.1531572404
182	0.1525652008
183	0.1519927284
184	0.1514008956
185	0.1509444201
186	0.1506237113
187	0.1499900138
188	0.1495847221
189	0.1492930764
190	0.1488210387
191	0.1484145986
192	0.1479167721
193	0.1472694838
194	0.1466986627
195	0.1455363926
196	0.1450002772
197	0.1447414397
198	0.144077265
199	0.1437139992
200	0.1433245983
201	0.1427960434
202	0.1425679587
203	0.1417846551
204	0.1415309133
205	0.141022999
206	0.1404394619
207	0.1401651242
208	0.139347325
209	0.1389276295
210	0.1384161874
211	0.1376852353
212	0.1372564298
213	0.1368550234
214	0.1364341812
215	0.1359823177
216	0.1355106148
217	0.1348523764
218	0.1344037077
219	0.1340595244
220	0.1335529932
221	0.1331869577
222	0.1327213951
223	0.1325156723
224	0.1323300279
225	0.1318171206
226	0.1315296585
227	0.1308886678
228	0.1303502919
229	0.1300457
230	0.1297749923
231	0.1296069666
232	0.1290756394
233	0.1287270918
234	0.1284271927
235	0.1281641473
236	0.1279403373
237	0.1273735384
238	0.1269162355
239	0.1263773898
240	0.1259875684
241	0.1254800579
242	0.1252138956
243	0.1247372002
244	0.1244725815
245	0.1240041719
246	0.1236393885
247	0.1232144218
248	0.1230665804
249	0.1223803789
250	0.1218379459
251	0.1216307128
252	0.1210960828
253	0.1208074973
254	0.1203681115
255	0.1201207005
256	0.1198413457
257	0.1195328722
258	0.1190004952
259	0.1186651387
260	0.1182056917
261	0.1178664684
262	0.1174221068
263	0.1170931196
264	0.1167997776
265	0.1164228856
266	0.116179872
267	0.1157598637
268	0.1152351696
269	0.114731671
270	0.1145277722
271	0.1141301845
272	0.1138962535
273	0.1136905832
274	0.1131930508
275	0.112804698
276	0.1121531466
277	0.1117270585
278	0.1115378178
279	0.1111553002
280	0.1104769958
281	0.1101887821
282	0.1097193918
283	0.1093039164
284	0.1089428734
285	0.1086634819
286	0.1083498001
287	0.1079920476
288	0.1077869379
289	0.1074487036
290	0.107187744
291	0.1068018699
292	0.1064501906
293	0.1060796575
294	0.1055484195
295	0.1052954601
296	0.1050883752
297	0.1046736372
298	0.1043907668
299	0.1041823082
