iter	Passed	Remaining
0	146	145996
1	147	73642
2	148	49509
3	150	37416
4	151	30168
5	152	25344
6	154	21890
7	155	19296
8	156	17278
9	158	15669
10	159	14355
11	160	13252
12	162	12315
13	163	11511
14	164	10815
15	166	10213
16	167	9676
17	168	9203
18	170	8786
19	171	8401
20	172	8055
21	174	7738
22	175	7459
23	177	7198
24	178	6959
25	179	6735
26	181	6525
27	182	6328
28	183	6148
29	185	5982
30	186	5823
31	187	5676
32	188	5537
33	190	5407
34	191	5283
35	192	5165
36	194	5055
37	195	4950
38	196	4849
39	198	4754
40	199	4664
41	200	4578
42	202	4498
43	203	4421
44	204	4347
45	206	4274
46	207	4204
47	208	4137
48	209	4074
49	211	4012
50	212	3954
51	213	3898
52	215	3843
53	216	3789
54	217	3738
55	218	3690
56	220	3642
57	221	3596
58	222	3551
59	224	3509
60	225	3467
61	226	3425
62	227	3386
63	228	3347
64	230	3311
65	231	3276
66	232	3241
67	234	3209
68	235	3177
69	236	3146
70	238	3115
71	239	3085
72	240	3056
73	242	3029
74	421	5199
75	424	5161
76	427	5125
77	430	5087
78	433	5050
79	436	5014
80	438	4978
81	441	4944
82	444	4911
83	447	4878
84	450	4846
85	653	6949
86	656	6893
87	854	8860
88	858	8785
89	861	8714
90	866	8653
91	869	8579
92	872	8507
93	875	8441
94	879	8374
95	882	8308
96	885	8241
97	888	8179
98	891	8115
99	894	8053
100	897	7991
101	900	7930
102	904	7874
103	907	7815
104	910	7764
105	913	7707
106	917	7656
107	920	7603
108	923	7548
109	926	7496
110	929	7447
111	932	7394
112	935	7343
113	948	7371
114	950	7317
115	952	7259
116	954	7203
117	958	7164
118	961	7117
119	963	7065
120	965	7015
121	967	6966
122	970	6919
123	973	6874
124	975	6825
125	977	6778
126	987	6789
127	990	6744
128	992	6701
129	994	6657
130	996	6613
131	999	6571
132	1003	6541
133	1472	9519
134	1475	9456
135	1478	9394
136	1481	9333
137	1484	9273
138	1487	9212
139	1490	9154
140	1492	9095
141	1495	9038
142	1498	8981
143	1501	8926
144	1504	8871
145	1507	8817
146	1510	8763
147	1513	8710
148	2225	12711
149	2228	12628
150	2231	12546
151	2234	12464
152	2237	12384
153	2239	12305
154	2242	12227
155	2245	12150
156	2248	12073
157	2251	11997
158	2254	11922
159	2257	11849
160	2259	11776
161	2262	11704
162	2265	11633
163	3534	18018
164	3537	17903
165	3540	17789
166	3543	17676
167	3546	17564
168	3549	17454
169	3552	17345
170	3555	17237
171	3558	17130
172	3561	17026
173	3564	16921
174	3567	16818
175	3570	16715
176	3573	16615
177	3576	16515
178	3579	16416
179	4046	18434
180	4049	18324
181	4052	18214
182	4055	18106
183	4058	17998
184	4061	17892
185	4064	17786
186	4067	17682
187	4069	17578
188	4072	17476
189	4075	17375
190	4078	17274
191	4548	19140
192	4551	19029
193	4553	18919
194	4556	18811
195	4559	18703
196	4562	18597
197	4565	18491
198	4568	18387
199	4570	18283
200	4573	18181
201	4576	18080
202	4579	17979
203	4761	18580
204	4765	18479
205	4768	18378
206	4770	18275
207	4772	18173
208	4775	18072
209	4777	17972
210	4780	17874
211	4784	17785
212	4787	17689
213	4792	17602
